ADI,334890
NIZ,498888
KAR,2471577
MED,7399334
HYD,0
RRD,13318033
MAH,3960609
NAL,3449537
WRL,1274547
KMM,137238
SKM,735412
VZM,586773
VSP,4586532
EGV,15965425
WGV,7577388
KRI,4532139
GTR,4527513
PKM,293023
NLR,1084763
KAD,214150
KUR,182905
ANAN,449593
CTR,12534797
